Line,Individual Number,Chamber,Position Column,Position Row,Position Block,Treatment,Plant ID,Population,Mother,Replicate,Growth Measure Date,Growth Measure Number,Growth Measure Plant Height     cm,Growth Measure Leaf Number,Growth Measure Longest Leaf Length   cm,Leaf Measure Date,Leaf Measure Number,Leaf Sample Number,Leaf Measure Porometer mmol/m²s,Leaf Measure Spad,Leaf Measure Spad :1,Leaf Measure Spad :2,Leaf Measure Spad Mean,Leaf Measure Area     cm²,Leaf Measure Area :1  cm²,Leaf Measure Area :2  cm²,Leaf Measure Area Mean  cm²,Leaf Measure Perimeter cm,Leaf Measure Perimeter :1 cm,Leaf Measure Perimeter :2 cm,Leaf Measure Perimeter Mean       cm,Leaf Measure Length    cm,Leaf Measure Length :1  cm,Leaf Measure Length :2  cm,Leaf Measure Length Mean      cm,Leaf MeasureWidth   cm,Leaf Measure Width :1   cm,Leaf Measure Width :2   cm,Leaf Measure Width  Mean     cm,Leaf Measure Dry Weight    g,Leaf Measure Dry Weight :1   g,Leaf Measure Dry Weight :2   g,Leaf Measure Dry Weight Mean        g,Leaf Measure SLA (leaf area cm² / dry leaf weight g),Notes
167,93,35,3,C,1,Water,B.3.3,B,3,3,Jun-16,2:2,64.2,51,9.9,Jun-16,2:0,2,.,47.1,43.7,.,45.4,10.7559,8.9597,.,9.8578,17.3187,16.5086,.,16.91365,7.2487,6.9814,.,7.11505,5.8142,2.2362,.,4.0252,0.1432,0.1102,.,0.1267,,
168,47,35,4,B,1,Water,G.3.15,G,3,15,Jun-16,2:2,45.5,40,10.1,Jun-16,2:0,2,.,53.3,47.2,.,50.25,16.3329,11.8024,.,14.06765,20.6677,17.9823,.,19.325,8.2275,7.2492,.,7.73835,5.358,4.8225,.,5.09025,0.1762,0.1243,.,0.15025,,
169,110,35,4,D,1,Water,T3.7.1,T3,7,1,Jun-16,2:2,64,90,8.8,Jun-16,2:0,2,.,45.9,44.6,.,45.25,7.3348,8.1581,.,7.74645,15.7991,15.1282,.,15.46365,6.8582,6.5159,.,6.68705,1.9055,5.0537,.,3.4796,0.0844,0.0743,.,0.07935,,
170,92,35,5,A,1,Water,B.8.16,B,8,16,Jun-16,2:2,27,46,6.9,Jun-16,2:0,2,.,52,51.6,.,51.8,8.1996,4.6159,.,6.40775,15.049,11.251,.,13.15,6.0398,4.7118,.,5.3758,4.8524,3.7487,.,4.30055,0.1023,0.057,.,0.07965,,
171,61,35,5,C,1,Water,G.10.2,G,10,2,Jun-16,2:2,46.5,20,8.5,Jun-16,2:0,2,.,66.3,54.3,.,60.3,8.0617,5.4774,.,6.76955,16.0302,13.275,.,14.6526,6.8883,5.7369,.,6.3126,5.0105,5.1212,.,5.06585,0.1012,0.0714,.,0.0863,,
172,39,35,6,B,1,Water,D.5.18,D,5,18,Jun-16,2:2,42,62,7.5,Jun-16,2:0,2,.,53,46.3,.,49.65,3.4984,4.8559,.,4.17715,11.369,13.8063,.,12.58765,5.0781,6.2441,.,5.6611,1.1396,5.118,.,3.1288,0.0557,0.0364,.,0.04605,,
173,139,35,6,D,1,Water,11.7.11,11,7,11,Jun-16,2:2,71.5,75,10.5,Jun-16,2:0,2,.,56.3,53.2,.,54.75,8.6712,10.8045,.,9.73785,17.8939,18.9682,.,18.43105,7.7549,8.2218,.,7.98835,1.8197,7.1587,.,4.4892,0.1223,0.0935,.,0.1079,,
174,218,35,7,A,1,Water,G.7.16,G,7,16,Jun-16,2:2,46.5,51,9,Jun-16,2:0,2,.,59.2,43.3,.,51.25,14.7661,8.914,.,11.84005,17.722,14.2164,.,15.9692,6.7549,5.6877,.,6.2213,5.1536,4.1651,.,4.65935,0.1733,0.101,.,0.13715,,
175,77,35,7,C,1,Water,T3.8.16,T3,8,16,Jun-16,2:2,68.5,52,10.4,Jun-16,2:0,2,.,47.3,49.7,.,48.5,13.7164,9.6434,.,11.6799,19.3089,17.2168,.,18.26285,7.9426,7.3067,.,7.62465,6.738,5.9754,.,6.3567,0.1408,0.0998,.,0.1203,,
176,90,35,8,B,1,Water,11.9.3,11,9,3,Jun-16,2:2,64.5,51,9.4,Jun-16,2:0,2,.,59,60.2,.,59.6,13.6811,13.1532,.,13.41715,18.1474,17.7631,.,17.95525,7.4801,7.4692,.,7.47465,2.9257,5.6043,.,4.265,0.11,0.1346,.,0.1223,,
177,102,35,8,D,1,Water,B.7.3,B,7,3,Jun-16,2:2,57,54,8.1,Jun-16,2:0,2,.,35.1,42.7,.,38.9,17.1538,11.4557,.,14.30475,19.1438,15.719,.,17.4314,7.6061,6.3643,.,6.9852,6.143,2.9398,.,4.5414,0.1942,0.1234,.,0.1588,,
178,153,35,9,A,1,Water,T3.3.14,T3,3,14,Jun-16,2:2,34.5,35,14.5,Jun-16,2:0,2,.,41.3,42.9,.,42.1,8.4436,5.6867,.,7.06515,23.4774,18.271,.,20.8742,10.4506,8.3886,.,9.4196,9.0831,1.0276,.,5.05535,0.1135,0.0734,.,0.09345,,
179,263,35,9,C,1,Water,D.10.17,D,10,17,Jun-16,2:2,54,50,9.1,Jun-16,2:0,2,.,50.5,45.2,.,47.85,10.3377,8.0056,.,9.17165,17.9801,16.3012,.,17.14065,7.7728,7.1208,.,7.4468,5.8124,5.0857,.,5.44905,0.1196,0.0876,.,0.1036,,
180,160,35,10,B,1,Water,B.5.8,B,5,8,Jun-16,2:2,18.7,50,4.8,Jun-16,2:0,2,.,41.2,33.4,.,37.3,4.0103,2.8469,.,3.4286,10.1793,8.4876,.,9.33345,4.4286,3.6973,.,4.06295,3.601,1.245,.,2.423,0.0455,0.0321,.,0.0388,,
181,81,35,10,D,1,Water,D.6.9,D,6,9,Jun-16,2:2,48.4,48,10.8,Jun-16,2:0,2,.,51.3,46.2,.,48.75,9.6305,7.6699,.,8.6502,16.7487,14.5038,.,15.62625,7.3494,6.2319,.,6.79065,2.5198,2.0494,.,2.2846,0.0845,0.0589,.,0.0717,,
182,74,35,1,E,1,Drought,D.7.8,D,7,8,Jun-16,2:2,32,16,6,Jun-16,2:0,2,.,57,50.1,.,53.55,8.8673,4.7098,.,6.78855,13.2883,10.2447,.,11.7665,5.3922,4.3246,.,4.8584,4.3996,1.668,.,3.0338,0.0861,0.0419,.,0.064,,
183,59,35,1,G,1,Drought,11.1.3,11,1,3,Jun-16,2:2,58,56,8.2,Jun-16,2:0,2,.,58.1,58.1,.,58.1,6.2619,4.8058,.,5.53385,16.5075,14.6256,.,15.56655,7.538,6.4905,.,7.01425,1.4562,3.271,.,2.3636,0.092,0.0685,.,0.08025,,
184,244,35,2,F,1,Drought,T3.9.12,T3,9,12,Jun-16,2:2,52.5,51,10.5,Jun-16,2:0,2,.,55.6,51.2,.,53.4,14.4106,10.5366,.,12.4736,20.1883,17.2008,.,18.69455,8.3784,7.1233,.,7.75085,6.4928,2.7114,.,4.6021,0.1905,0.1352,.,0.16285,,
185,58,35,2,H,1,Drought,G.9.16,G,9,16,Jun-16,2:2,42.8,25,8.8,Jun-16,2:0,2,.,52.3,48.2,.,50.25,12.4135,9.7348,.,11.07415,17.0425,15.2772,.,16.15985,6.8907,6.413,.,6.65185,3.0381,5.0592,.,4.04865,0.1692,0.1334,.,0.1513,,
186,199,35,3,E,1,Drought,11.6.11,11,6,11,Jun-16,2:2,65,55,11.3,Jun-16,2:0,2,.,51.6,54.5,.,53.05,13.8391,13.1192,.,13.47915,21.0484,21.0408,.,21.0446,8.5252,8.8082,.,8.6667,3.1262,5.6388,.,4.3825,0.1689,0.1637,.,0.1663,,
187,124,35,3,G,1,Drought,B.3.16,B,3,16,Jun-16,2:2,51,39,9.8,Jun-16,2:0,2,.,55.4,51.8,.,53.6,8.3201,9.3564,.,8.83825,16.3422,16.6636,.,16.5029,7.0484,6.9979,.,7.02315,2.9081,2.3609,.,2.6345,0.1077,0.995,.,0.55135,,
188,100,35,4,F,1,Drought,G.3.13,G,3,13,Jun-16,2:2,47.8,56,9.1,Jun-16,2:0,2,.,54.7,46.6,.,50.65,13.8208,9.1234,.,11.4721,20.1351,16.5838,.,18.35945,8.593,6.4653,.,7.52915,2.822,4.1593,.,3.49065,0.1668,0.1023,.,0.13455,,
189,12,35,4,H,1,Drought,T3.7.6,T3,7,6,Jun-16,2:2,47.9,71,9.7,Jun-16,2:0,2,.,44.9,43.2,.,44.05,6.5211,5.0535,.,5.7873,15.5971,13.0704,.,14.33375,6.3686,5.8822,.,6.1254,2.0089,1.4348,.,1.72185,0.0814,0.0662,.,0.0738,,
190,40,35,5,E,1,Drought,B.8.12,B,8,12,Jun-16,2:2,78.7,32,9.5,Jun-16,2:0,2,.,52.6,47.2,.,49.9,11.6409,12.0936,.,11.86725,17.4651,17.7985,.,17.6318,6.9393,7.089,.,7.01415,3.2191,4.3952,.,3.80715,0.134,0.1161,.,0.12505,,
191,229,35,5,G,1,Drought,G.10.11,G,10,11,Jun-16,2:2,53.8,33,9.8,Jun-16,2:0,2,.,55.4,52.6,.,54,11.8163,14.528,.,13.17215,17.322,18.6654,.,17.9937,6.8833,7.5368,.,7.21005,4.6272,6.1342,.,5.3807,0.1707,0.1429,.,0.1568,,
192,20,35,6,F,1,Drought,D.5.5,D,5,5,Jun-16,2:2,46.8,61,9,Jun-16,2:0,2,.,57.8,56.2,.,57,6.8145,6.2797,.,6.5471,16.8929,15.3439,.,16.1184,7.5805,6.8273,.,7.2039,2.1861,1.3987,.,1.7924,0.0683,0.0586,.,0.06345,,
193,62,35,6,H,1,Drought,11.7.13,11,7,13,Jun-16,2:2,53.4,78,12.4,Jun-16,2:0,2,.,52.7,508,.,280.35,5.098,4.633,.,4.8655,14.7887,14.4754,.,14.63205,6.5865,6.3585,.,6.4725,4.3686,1.232,.,2.8003,0.0681,0.0578,.,0.06295,,
194,73,35,7,E,1,Drought,G.7.4,G,7,4,Jun-16,2:2,57.2,51,11.5,Jun-16,2:0,2,.,48.5,41.4,.,44.95,11.24,11.7167,.,11.47835,15.6497,16.2236,.,15.93665,6.3197,6.5695,.,6.4446,2.9181,4.3954,.,3.65675,0.1181,0.1225,.,0.1203,,
195,77,35,7,G,1,Drought,T3.8.1,T3,8,1,Jun-16,2:2,66.5,46,10.2,Jun-16,2:0,2,.,47.4,48,.,47.7,11.8447,11.2712,.,11.55795,18.3437,18.896,.,18.61985,7.608,8.0014,.,7.8047,4.4437,2.4842,.,3.46395,0.1334,0.1277,.,0.13055,,
196,156,35,8,F,1,Drought,11.9.9,11,9,9,Jun-16,2:2,66,38,7.7,Jun-16,2:0,2,.,67.9,62.1,.,65,13.6992,13.8361,.,13.76765,17.5573,17.5795,.,17.5684,6.8876,7.1105,.,6.99905,3.4631,5.5084,.,4.48575,0.1225,0.1651,.,0.1438,,
197,44,35,8,H,1,Drought,B.7.7,B,7,7,Jun-16,2:2,49,45,7.4,Jun-16,2:0,2,.,43.2,41.4,.,42.3,10.18,12.9803,.,11.58015,14.0339,15.7995,.,14.9167,5.4307,5.7919,.,5.6113,4.1552,4.8718,.,4.5135,0.1556,0.1105,.,0.13305,,
198,266,35,9,E,1,Drought,T3.3.3,T3,3,3,Jun-16,2:2,56,60,11.1,Jun-16,2:0,2,.,43.8,41.7,.,42.75,10.9805,11.5441,.,11.2623,21.4429,21.3087,.,21.3758,9.3826,9.526,.,9.4543,2.0926,2.0772,.,2.0849,0.0988,0.0933,.,0.09605,,
199,3,35,9,G,1,Drought,D.10.4,D,10,4,Jun-16,2:2,57,21,9,Jun-16,2:0,2,.,53.9,53.5,.,53.7,12.2922,14.3009,.,13.29655,17.4462,18.8825,.,18.16435,7.4612,7.8973,.,7.67925,5.7577,5.9031,.,5.8304,0.1703,0.1437,.,0.157,,
200,287,35,10,F,1,Drought,B.5.4,B,5,4,Jun-16,2:2,73,55,9.7,Jun-16,2:0,2,.,48.9,50.1,.,49.5,16.424,14.421,.,15.4225,19.4265,18.2146,.,18.82055,7.76,7.3328,.,7.5464,6.5403,3.2795,.,4.9099,0.178,0.1604,.,0.1692,,
201,280,35,10,H,1,Drought,D.6.12,D,6,12,Jun-16,2:2,49,69,10.5,Jun-16,2:0,2,.,57.4,56.9,.,57.15,9.9393,7.2984,.,8.61885,19.3295,16.7327,.,18.0311,8.5917,7.5176,.,8.05465,7.4499,1.58,.,4.51495,0.1014,0.0718,.,0.0866,,
202,389,36,11,A,2,Water,D.7.3,D,7,3,Jun-16,2:2,23,86,4,Jun-16,2:0,2,.,47.3,44.7,.,46,6.4297,3.9842,.,5.20695,13.598,10.9192,.,12.2586,5.8207,4.6593,.,5.24,3.4591,1.2721,.,2.3656,0.0545,0.0337,.,0.0441,,
203,330,36,11,C,2,Water,11.1.2,11,1,2,Jun-16,2:2,65.4,82,9.9,Jun-16,2:0,2,.,49.2,46.1,.,47.65,8.5515,8.7112,.,8.63135,16.7997,16.9393,.,16.8695,7.3323,7.4389,.,7.3856,6.2793,1.8746,.,4.07695,0.0835,0.0856,.,0.08455,,
204,340,36,12,B,2,Water,T3.9.3,T3,9,3,Jun-16,2:2,30.4,17,10,Jun-16,2:0,2,.,52.2,49.2,.,50.7,10.9426,10.8337,.,10.88815,17.8362,16.7533,.,17.29475,7.7565,6.9872,.,7.37185,2.3674,5.9095,.,4.13845,0.0837,0.0784,.,0.08105,,
205,450,36,12,D,2,Water,G.9.2,G,9,2,Jun-16,2:2,62,45,11.2,Jun-16,2:0,2,.,51.8,44.5,.,48.15,16.7218,20.5864,.,18.6541,21.0368,22.8321,.,21.93445,8.6209,9.2905,.,8.9557,3.4029,7.4014,.,5.40215,0.2321,0.1841,.,0.2081,,
206,598,36,13,A,2,Water,11.6.6,11,6,6,Jun-16,2:2,45.2,48,8.5,Jun-16,2:0,2,.,62.5,56.9,.,59.7,7.3586,5.5161,.,6.43735,16.5534,14.071,.,15.3122,7.4242,6.3606,.,6.8924,6.7743,4.3951,.,5.5847,0.0922,0.0723,.,0.08225,,
207,395,36,13,C,2,Water,B.3.10,B,3,10,Jun-16,2:2,59,37,8,Jun-16,2:0,2,.,51.8,47.4,.,49.6,10.1193,10.2619,.,10.1906,15.8612,16.314,.,16.0876,6.5845,6.7727,.,6.6786,5.3886,4.9619,.,5.17525,0.1121,0.1136,.,0.11285,,
208,507,36,14,B,2,Water,G.3.14,G,3,14,Jun-16,2:2,62,34,11,Jun-16,2:0,2,.,47,41.8,.,44.4,17.3672,12.5766,.,14.9719,19.8606,17.1102,.,18.4854,7.7994,6.7665,.,7.28295,5.7253,3.1978,.,4.46155,0.2185,0.145,.,0.18175,,
209,463,36,14,D,2,Water,T3.7.8,T3,7,8,Jun-16,2:2,65.5,80,11.2,Jun-16,2:0,2,.,45.9,38.1,.,42,9.7701,7.5399,.,8.655,19.2825,16.5674,.,17.92495,8.2381,7.1986,.,7.71835,5.4781,6.027,.,5.75255,0.0882,0.0635,.,0.07585,,
210,422,36,15,A,2,Water,B.8.10,B,8,10,Jun-16,2:2,65.7,36,8,Jun-16,2:0,2,.,41.3,40,.,40.65,14.5303,16.4658,.,15.49805,16.0973,17.7477,.,16.9225,5.5285,6.2804,.,5.90445,4.2188,4.944,.,4.5814,0.1811,0.1458,.,0.16345,,
211,414,36,15,C,2,Water,G.10.13,G,10,13,Jun-16,2:2,66.2,23,8.4,Jun-16,2:0,2,.,48.2,50.7,.,49.45,14.1119,16.7476,.,15.42975,17.7819,18.8194,.,18.30065,6.8868,7.5715,.,7.22915,3.5222,6.0232,.,4.7727,0.151,0.1266,.,0.1388,,
212,529,36,16,B,2,Water,D.5.12,D,5,12,Jun-16,2:2,42,50,7,Jun-16,2:0,2,.,56.5,54.9,.,55.7,5.8213,4.3701,.,5.0957,14.4884,12.5768,.,13.5326,6.4021,5.5869,.,5.9945,5.1291,1.3074,.,3.21825,0.0459,0.0288,.,0.03735,,
213,364,36,16,D,2,Water,11.7.17,11,7,17,Jun-16,2:2,60.5,32,10.5,Jun-16,2:0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,no 11.7.17
214,520,36,17,A,2,Water,G.7.9,G,7,9,Jun-16,2:2,56.9,67,8.7,Jun-16,2:0,2,.,45.3,40.6,.,42.95,9.0685,11.3981,.,10.2333,15.6347,16.7873,.,16.211,6.5614,6.8438,.,6.7026,2.4953,2.8264,.,2.66085,0.116,0.0958,.,0.1059,,
215,516,36,17,C,2,Water,T3.8.4,T3,8,4,Jun-16,2:2,29.3,10,7.5,Jun-16,2:0,2,.,41.9,41.2,.,41.55,7.3976,7.4732,.,7.4354,14.9035,15.9464,.,15.42495,6.4764,6.9631,.,6.71975,5.524,1.8411,.,3.68255,0.334,0.328,.,0.0331,,
216,121,36,18,B,2,Water,11.9.11,11,9,14,Jun-16,2:2,50,33,9.5,Jun-16,2:0,2,.,52.3,52,.,52.15,14.0583,10.9776,.,12.51795,18.5404,16.0114,.,17.2759,7.5879,6.4814,.,7.03465,4.1977,2.6951,.,3.4464,0.1152,0.0937,.,0.10445,,was 11-9-14
217,346,36,18,D,2,Water,B.7.6,B,7,6,Jun-16,2:2,64.8,29,6.9,Jun-16,2:0,2,.,41.9,41.8,.,41.85,18.6975,14.2421,.,16.4698,18.2457,16.0776,.,17.16165,6.0809,5.1918,.,5.63635,4.9001,4.3472,.,4.62365,0.1987,0.1481,.,0.1734,,
218,568,36,19,A,2,Water,T3.3.13,T3,3,13,Jun-16,2:2,36.5,38,9.6,Jun-16,2:0,2,.,50.2,53.2,.,51.7,10.3511,9.2253,.,9.7882,16.3817,16.054,.,16.21785,6.7573,6.861,.,6.80915,2.6299,2.2405,.,2.4352,0.0846,0.104,.,0.0943,,
219,592,36,19,C,2,Water,D.10.2,D,10,2,Jun-16,2:2,48,13,9.6,Jun-16,2:0,2,.,54.7,53.6,.,54.15,11.6315,15.7955,.,13.7135,15.6016,18.0266,.,16.8141,6.3015,7.424,.,6.86275,4.7265,4.7309,.,4.7287,0.1104,0.0835,.,0.09695,,
220,500,36,20,B,2,Water,B.5.16,B,5,16,Jun-16,2:2,71,48,6.3,Jun-16,2:0,2,.,49.1,45.7,.,47.4,9.2902,7.1109,.,8.20055,13.7697,12.3992,.,13.08445,5.3357,4.826,.,5.08085,4.2671,2.4987,.,3.3829,0.1023,0.07,.,0.08615,,
221,383,36,20,D,2,Water,D.6.11,D,6,11,Jun-16,2:2,49,53,9.4,Jun-16,2:0,2,.,54,55,.,54.5,6.8887,8.9921,.,7.9404,15.2244,16.9426,.,16.0835,6.7684,7.5145,.,7.14145,1.6696,6.4229,.,4.04625,0.0655,0.0527,.,0.0591,,
222,338,36,11,E,2,Drought,D.7.10,D,7,10,Jun-16,2:2,25.3,19,9,Jun-16,2:0,2,.,44.7,41.3,.,43,11.8978,6.5966,.,9.2472,19.1234,15.369,.,17.2462,8.4284,6.8063,.,7.61735,7.3304,1.7357,.,4.53305,0.0861,0.0441,.,0.0651,,
223,361,36,11,G,2,Drought,11.1.1,11,1,1,Jun-16,2:2,51.5,45,9.5,Jun-16,2:0,2,.,52.6,50.9,.,51.75,10.0649,8.18,.,9.12245,15.8071,14.9042,.,15.35565,6.6096,6.3145,.,6.46205,4.4103,2.2848,.,3.34755,0.0977,0.0771,.,0.0874,,
224,390,36,12,F,2,Drought,T3.9.15,T3,9,15,Jun-16,2:2,45.5,19,10,Jun-16,2:0,2,.,54.4,52.9,.,53.65,18.0274,14.8271,.,16.42725,21.7421,19.3194,.,20.53075,9.1358,8.1624,.,8.6491,6.7221,2.8556,.,4.78885,0.1492,0.13,.,0.1396,,
225,554,36,12,H,2,Drought,G.9.11,G,9,11,Jun-16,2:2,48.3,31,8.6,Jun-16,2:0,2,.,42.1,39.9,.,41,14.9407,10.6916,.,12.81615,18.7102,16.5943,.,17.65225,7.6944,6.9242,.,7.3093,5.8466,2.6799,.,4.26325,0.1634,0.1191,.,0.14125,,
226,501,36,13,E,2,Drought,11.6.9,11,6,9,Jun-16,2:2,62,53,10.4,Jun-16,2:0,2,.,56.2,57.6,.,56.9,6.6028,8.9887,.,7.79575,16.1984,17.4908,.,16.8446,7.0915,7.5908,.,7.34115,1.6589,5.4169,.,3.5379,0.1072,0.0714,.,0.0893,,
227,548,36,13,G,2,Drought,B.3.11,B,3,11,Jun-16,2:2,54,45,12.2,Jun-16,2:0,2,.,43.3,44.3,.,43.8,12.3065,12.0092,.,12.15785,18.9027,18.3135,.,18.6081,8.0487,7.8024,.,7.92555,6.7345,2.876,.,4.80525,0.1466,0.1429,.,0.14475,,
228,335,36,14,F,2,Drought,G.3.3,G,3,3,Jun-16,2:2,74,55,11.4,Jun-16,2:0,2,.,44.8,45.8,.,45.3,10.372,9.1471,.,9.75955,19.9799,18.9214,.,19.45065,8.5779,8.0843,.,8.3311,6.9731,5.7995,.,6.3863,0.1351,0.1175,.,0.1263,,
229,412,36,14,H,2,Drought,T3.7.5,T3,7,5,Jun-16,2:2,45.3,37,10.9,Jun-16,2:0,2,.,49.6,44.6,.,47.1,6.8951,8.9031,.,7.8991,19.5357,20.7906,.,20.16315,8.4074,8.884,.,8.6457,1.3362,7.6646,.,4.5004,0.87,0.0662,.,0.4681,,
230,342,36,15,E,2,Drought,B.8.6,B,8,6,Jun-16,2:2,55,30,9.2,Jun-16,2:0,3,.,56.5,47.7,46.8,50.3333333333,17.5654,7.0157,10.12,11.5670333333,19.8393,13.6641,16.73,16.7444666667,7.2892,5.3732,6.7996,6.4873333333,5.5274,2.3055,5.2421,4.3583333333,0.215,0.1217,0.0834,0.1400333333,,
231,460,36,15,G,2,Drought,G.10.7,G,10,7,Jun-16,2:2,50.3,31,8,Jun-16,2:0,2,.,51.8,52.1,.,51.95,10.3102,8.6814,.,9.4958,15.9977,14.9806,.,15.48915,6.5413,6.1199,.,6.3306,5.4095,2.3784,.,3.89395,0.1256,0.1073,.,0.11645,,
232,358,36,16,F,2,Drought,D.5.11,D,5,11,Jun-16,2:2,45.8,23,10,Jun-16,2:0,2,.,57.6,55.4,.,56.5,7.7956,11.572,.,9.6838,17.7751,18.915,.,18.34505,7.7202,8.2516,.,7.9859,1.6293,6.89,.,4.25965,0.1008,0.0651,.,0.08295,,
233,571,36,16,H,2,Drought,11.7.9,11,7,9,Jun-16,2:2,38.5,49,9.5,Jun-16,2:0,2,.,56.9,51,.,53.95,14.7441,9.7491,.,12.2466,22.4227,18.9271,.,20.6749,9.7458,8.2693,.,9.00755,8.0128,2.0993,.,5.05605,0.1642,0.0943,.,0.12925,,
234,375,36,17,E,2,Drought,G.7.5,G,7,5,Jun-16,2:2,74.5,49,9.4,Jun-16,2:0,2,.,42.9,37.6,.,40.25,12.2497,11.1451,,11.6974,17.0584,17.4828,.,17.2706,7.197,6.9546,.,7.0758,5.8922,2.9614,.,4.4268,0.1334,0.12,.,0.1267,,measurements corrected this row
235,448,36,17,G,2,Drought,T3.8.10,T3,8,10,Jun-16,2:2,62.8,51,10.5,Jun-16,2:0,2,.,44.1,40.6,.,42.35,10.21,7.1382,.,8.6741,16.6932,14.0649,.,15.37905,6.8534,6.0502,.,6.4518,4.7005,4.4131,.,4.5568,0.1225,0.0784,.,0.10045,,
236,553,36,18,F,2,Drought,11.9.2,11,9,2,Jun-16,2:2,55.5,31,10,Jun-16,2:0,2,.,53.3,52.6,.,52.95,11.0391,10.1289,.,10.584,16.7482,15.9786,.,16.3634,6.8831,6.722,.,6.80255,4.8189,2.4417,.,3.6303,0.0998,0.0955,.,0.09765,,
237,585,36,18,H,2,Drought,B.7.1,B,7,1,Jun-16,2:2,48,36,7,Jun-16,2:0,2,.,40.8,35.7,.,38.25,11.7528,8.4473,.,10.10005,14.5919,13.6135,.,14.1027,5.4793,5.1428,.,5.31105,3.2976,4.0473,.,3.67245,0.1325,0.0941,.,0.1133,,
238,329,36,19,E,2,Drought,T3.3.6,T3,3,6,Jun-16,2:2,35.7,82,9,Jun-16,2:0,2,.,46.3,43.6,.,44.95,4.8252,4.2396,.,4.5324,12.8795,12.781,.,12.83025,5.7899,5.5376,.,5.66375,4.1671,4.8172,.,4.49215,0.0454,0.0386,.,0.042,,
239,305,36,19,G,2,Drought,D.10.8,D,10,8,Jun-16,2:2,35,15,10.5,Jun-16,2:0,2,.,43.3,42.9,.,43.1,8.9011,7.0858,.,7.99345,14.8069,14.3783,.,14.5926,6.2692,6.3022,.,6.2857,2.4579,5.0245,.,3.7412,0.0649,0.0548,.,0.05985,,
240,308,36,20,F,2,Drought,B.5.11,B,5,11,Jun-16,2:2,72,45,7.5,Jun-16,2:0,2,.,49.8,47.2,.,48.5,11.1621,7.3574,.,9.25975,15.7896,13.2623,.,14.52595,6.3195,5.3967,.,5.8581,5.1163,2.3893,.,3.7528,0.1296,0.0798,.,0.1047,,
241,582,36,20,H,2,Drought,D.6.4,D,6,4,Jun-16,2:2,47.2,27,11,Jun-16,2:0,2,.,53.6,45.2,.,49.4,10.8764,7.6029,.,9.23965,17.5184,15.3534,.,16.4359,7.3449,6.7204,.,7.03265,4.8206,2.1115,.,3.46605,0.1328,0.0883,.,0.11055,,
242,167,35,21,A,3,Water,D.7.5,D,7,5,Jun-16,2:2,27.5,32,9,Jun-16,2:0,2,.,50.9,45.6,.,48.25,5.1488,7.1724,.,6.1606,13.8235,14.6026,.,14.21305,6.1649,6.3015,.,6.2332,1.3563,4.5884,.,2.97235,0.0638,0.0478,.,0.0558,,
243,180,35,21,C,3,Water,11.1.6,11,1,6,Jun-16,2:2,58,100,8.2,Jun-16,2:0,2,.,51.9,46.8,.,49.35,9.0648,7.5818,.,8.3233,16.4838,14.6446,.,15.5642,7.0077,6.1409,.,6.5743,5.0434,4.2288,.,4.6361,0.0945,0.0703,.,0.0824,,
